alpha;I;E;n
6;54;0.519615242;3.050160074
8;54;0.519615242;1.091179722
10;54;0.519615242;2.709437825
12;53;0.514781507;2.688478585
14;52;0.509901951;1.076459378
16;50;0.5;2.887367909
18;50;0.5;2.118524308
20;50;0.5;1.527169851
22;49;0.494974747;2.960095277
24;48;0.489897949;1.534611619
26;45;0.474341649;1.968176669
28;44;0.469041576;2.677054674
30;44;0.469041576;1.076265128
32;43;0.463680925;2.342525843
34;41;0.452769257;2.314051361
36;37;0.430116263;1.042470852
38;39;0.441588043;2.483352038
40;38;0.435889894;1.853951869
42;36;0.424264069;1.348740673
44;34;0.412310563;2.402846634
46;32;0.4;1.352820553
48;30;0.387298335;1.640450167
50;29;0.380788655;2.167729286
52;26;0.360555128;1.04580236
54;22;0.331662479;1.744325173
56;22;0.331662479;1.778244902
58;20;0.316227766;1.019032746
60;17;0.291547595;1.762853097
62;14;0.264575131;1.373899211
64;10;0.223606798;1.108081148
66;8;0.2;1.499706236
68;6.7;0.183030052;1.101135542
70;4.6;0.151657509;1.156756537
72;2.5;0.111803399;1.237079188
74;1.4;0.083666003;1.005859078
76;1;0.070710678;1.105694259
78;2;0.1;1.167634762
80;5.2;0.161245155;1.005570273
82;12;0.244948974;1.596876181
84;22;0.331662479;1.540600153
86;46;0.479583152;1.429265772
;;;
;;E Strich;I Strich
;;0.373691937;1.749808423
