alpha	I	E	n
6	54	0.621059003	1.34
8	54	0.621059003	1.168866332
10	54	0.621059003	3.630428322
12	53	0.615281585	3.583411895
14	52	0.6094494	1.13965991
16	50	0.597614305	3.813133023
18	50	0.597614305	2.727132482
20	50	0.597614305	1.859735792
22	49	0.591607978	3.8971127
24	48	0.585540044	1.858304346
26	45	0.56694671	2.461870666
28	44	0.560611911	3.429684793
30	44	0.560611911	1.129763593
32	43	0.554204707	2.960219424
34	41	0.541162769	2.898905998
36	37	0.514087263	1.068929954
38	39	0.527798663	3.104302628
40	38	0.520988072	2.244962852
42	36	0.507092553	1.528295314
44	34	0.49280538	2.942851553
46	32	0.478091444	1.520301255
48	30	0.46291005	1.90535541
50	29	0.455129495	2.590357416
52	26	0.430945804	1.068371167
54	22	0.396412484	1.998341888
56	22	0.396412484	2.041682022
58	20	0.377964473	1.027375008
60	17	0.348466026	1.994616568
62	14	0.316227766	1.492386479
64	10	0.267261242	1.142690152
66	8	0.239045722	1.627921301
68	6.7	0.218762755	1.130376346
70	4.6	0.181265393	1.197432383
72	2.5	0.133630621	1.290833405
74	1.4	0.1	1.00725439
76	1	0.084515425	1.128757164
78	2	0.119522861	1.205730018
80	5.2	0.192724822	1.007181342
82	12	0.292770022	1.763981194
84	22	0.396412484	1.735707244
86	46	0.573211504	1.689150973
			
		E Strich	n Strich
		0.446647294	1.975334368
